id,track_name,artist_names,source,release_date,duration,peak_rank,previous_rank,days_on_chart,rank,streams
3Z0oQ8r78OUaHvGPiDBR3W,Into the Unknown,"Idina Menzel, AURORA",Walt Disney Records,2019-11-29,202,50,145,23,1,4727746591
3AzjcOeAmA57TIOr9zF1ZW,Physical,Dua Lipa,Warner Records,2020-03-20,200,15,149,105,2,4726263786
5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen",Atlantic Records UK,2017-03-03,234,14,-1,86,3,4238338469
42zePe03Iq8tvFcJAIKkp8,D.R.E.A.M. (feat. Ghostface Killah),"Miley Cyrus, Ghostface Killah",RCA/Legacy,2019-05-17,182,59,59,2,4,3812743107
34ODRRWSsRbiB6sGI9R9Te,Badadu,MONSTAR,ST.319 Entertainment,2018-11-08,182,45,179,40,5,3811491910
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,Columbia,2022-03-31,167,53,74,45,6,3774211059
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,Columbia,2022-05-20,167,25,173,366,7,3774211059
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",Universal Republic Records,2016-11-25,230,123,197,103,8,3764936894
2FAy5wKks2GltTlYwiCfWh,Hết Thương Cạn Nhớ,Đức Phúc,Đức Phúc Official,2019-09-06,158,39,39,2,9,3721945430
7LzouaWGFCy4tkXDOOnEyM,Liar,Camila Cabello,Syco Music/Epic,2019-09-06,158,13,81,87,10,3721945430
7laWkT6uyoMDUXBqhcAN4V,"Ngày Chưa Giông Bão (Theme Song From ""Người Bất Tử"")",Bùi Lan Hương,Yin Yang Media,2018-10-18,158,13,117,625,11,3720760877
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),"Meek Mill, Drake",MMG/Atlantic,2018-12-14,158,85,172,47,12,3720760877
0GU5GuJQQEnnREO2FxnVPT,DALLA DALLA,ITZY,Republic Records - ITZY,2019-02-22,158,11,-1,226,13,3720760877
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",Columbia,2021-07-27,142,1,195,744,14,3476727992
1MiJk3dXC5jzhvLFP0dUM7,Thức Giấc,Da LAB,Yin Yang Media,2021-07-09,142,1,131,1298,15,3476727992
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",Columbia,2021-07-23,142,1,104,542,16,3476727992
6uHoPVdPEqXlH1Kd3KqTIJ,I'M OK,iKON,YG Entertainment,2017-06-23,204,44,147,9,17,3338856236
2yoQ8FCHSuduzMtreflB71,Say You Do - 2nd Single 2015,Tiên Tiên,TienTienMusic,2017-03-03,263,32,32,2,18,3312142392
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,Polydor Records,2020-08-06,239,21,170,408,19,3301944296
3WkvZbY9jVVIfBGhrcnVAL,Phố Không Em,Thái Đinh,Yin Yang Media,2019-05-10,210,56,186,870,20,3220250553
7FihoA0WgTT21DkWR7wbYR,"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",Céline Dion,Columbia,2018-04-19,200,15,85,54,21,3209562664
6SRWhUJcD2YKahCwHavz3X,Darkside,"Alan Walker, Au/Ra, Tomine Harket",Kreatell Music,2017-08-11,200,7,186,458,22,3209562664
4ofvoCdXq99vpMZO4Cfp8x,Pray For Me,"The Weeknd, Kendrick Lamar",Universal Republic Records,2016-10-28,211,50,77,19,23,3176204565
7krbSH3rd8lhIZvuzTV3Bl,Naked,James Arthur,Columbia Local,2016-07-29,245,62,-1,32,24,3162101862
7ej7R4LjMWP6sdCtoayJSN,The River,Axel Johansson,disco:wax,2018-02-02,218,28,88,91,25,3126614456
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,"Right Hand Music Group, LLC/RCA Records",2018-04-27,218,108,178,107,26,3126614456
0WNGsQ1oAuHzNTk8jivBKW,Spring Day,BTS,BIGHIT MUSIC,2017-04-07,247,23,183,168,27,3030510971
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,Republic Records,2019-11-17,174,42,68,108,28,2945482048
3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,Columbia,2019-12-13,174,49,-1,122,29,2944832336
6MVkOZHOUDcuGd8fAnbU7f,Nơi Mình Dừng Chân (Remix),Mỹ Tâm,MT Entertainment,2019-06-21,191,90,184,6,30,2943698630
6moU77g9RQyMzHNuKEaQKq,It's You,Ali Gatie,Warner Records,2019-06-19,191,118,159,120,31,2943698630
733yOf6BYdGuFOgaedo9BK,Make It Right (feat. Lauv) (EDM Remix),"BTS, Lauv, Frants",BIGHIT MUSIC,2019-10-31,183,23,-1,1,32,2858350923
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,Warner Records,2020-03-27,183,2,188,174,33,2858350923
62yjCIcPBDX9v2XubelRxt,Bet On Me,Suboi,Suboi Entertainment,2018-12-10,240,86,117,10,34,2812345674
2IKZkwHI5zsZf70STuhvOX,Sick Boy,The Chainsmokers,Disruptor Records/Columbia,2013-01-01,259,65,68,2,35,2811550531
19L8E51SOAjb0DdA349YuW,Three Little Birds,Maroon 5,Interscope Records*,2018-05-23,240,86,-1,1,36,2811353130
0tBbt8CrmxbjRP0pueQkyU,Wolves,"Selena Gomez, Marshmello",Selena Gomez PS,2018-05-23,240,11,158,654,37,2811353130
2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",Taylor Swift,2019-08-23,178,1,187,433,38,2781564136
5UZFK9JGgU2BoDAWwhH9rC,Đi Đu Đưa Đi,Bích Phương,MUNIZ MUSIC COMPANY LIMITED,2019-09-06,215,2,3,30,39,2747205981
1UbP4wgY0XuLoEq9XollNZ,LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,Ngọt,2019-09-06,215,17,19,5,40,2746158440
1q3C6brbmRrULTyo2mseKF,FLASH,X1,Genie Music Corporation,2019-08-30,215,33,140,35,41,2746158440
0bAkKNCQfWkexHFn7fIKns,In My Feelings,Drake,Cash Money/Drake LP6,2018-06-29,199,13,18,17,42,2717995624
2c7GlMNmF7pbohjykutmLP,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD",Records/Columbia,1975-11-21,354,2,140,234,43,2716535857
0lks2Kt9veMOFEAPN0fsqN,Lily,"Alan Walker, K-391, Emelie Hollow",Kreatell Music,2018-06-29,199,9,148,765,44,2716429901
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),"Khalid, Normani",RCA Records Label,2018-01-20,199,11,76,94,45,2716429901
5troof8mcGO3AafoDbk1gc,Look What You Made Me Do,Taylor Swift,"Big Machine Records, LLC",2013-01-01,282,66,99,33,46,2699781317
09FfQO3PqHO4HIJL511Ksi,Nice Guy (with Jessie Reyez),"Eminem, Jessie Reyez",Aftermath,2015-11-13,234,107,-1,1,47,2690434988
2xmrfQpmS2iJExTlklLoAL,I Miss You (feat. Julia Michaels),"Clean Bandit, Julia Michaels",Atlantic Records UK,2015-11-13,234,64,106,50,48,2688120802
1N7YeVU0ZwAFbOhwM61ef6,Head Above Water,Avril Lavigne,BMG Rights Management (US) LLC,2018-09-27,216,18,90,43,49,2687725907
6xtcFXSo8H9BZN637BMVKS,Let You Love Me,Rita Ora,Rita Sahatciu Ora,2018-10-05,216,19,78,53,50,2685816736
6Xl74gKsRn6wTZa69LSb4R,Lời Yêu Em,Vũ.,WM Vietnam,2019-03-29,194,95,190,31,51,2679890289
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,Universal Republic Records,2016-11-24,260,42,183,582,52,2674263724
5HK1vERAqCVgCWyRQBClAv,Ngày Khác Lạ,"Đen, Giang Pham, Triple D",Đen,2017-06-23,187,80,185,205,53,2643562651
6hUpxEKFSjS8metuA1yxlf,Vai Lan Don Dua,SOOBIN,Space Speakers,2017-06-23,187,40,187,1219,54,2643562651
0jY5Kr6b9KCefb9mPruLU0,Loving You Sunny,"Kimmese, Đen",12 trái lê,2013-08-30,270,94,194,142,55,2639131007
5SxkdsY1ufZzoq9iXceLw9,no tears left to cry,Ariana Grande,Republic Records,2013-01-01,247,1,89,103,56,2625449419
79dGPzulHMR0W8w1b8CgO8,Twin Peaks Theme,Henrik Janson,Henrik Janson,2012-01-01,253,135,-1,1,57,2479205767
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,Kid Ina Korner / Interscope,2019-01-18,179,60,195,540,58,2476251414
44ONERBHALxftQNWq6dmyd,Side To Side,"Ariana Grande, Nicki Minaj",Universal Records,2019-02-08,179,182,-1,4,59,2476251414
4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus,Columbia,2023-03-10,201,4,-1,122,60,2443885636
0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,Columbia,2023-01-13,200,4,20,48,61,2443885636
4edS9dC0JPBlSS4p4gMOT0,This Feeling,"The Chainsmokers, Kelsea Ballerini",Disruptor Records/Columbia,2017-04-20,188,12,60,56,62,2418734238
7hvxMYq9JW5W0vFwiu1Zdr,Dreamer,Axwell /\ Ingrosso,Pophouse Entertainment Group,2017-04-20,188,87,128,18,63,2418734238
3QH8rQGNFX8VLbCgZ7uPTS,Fly To My Room,BTS,BIGHIT MUSIC,2021-01-08,242,5,171,217,64,2417739117
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),"24kGoldn, iann dior",Records/Columbia,2021-05-21,242,65,174,372,65,2417739117
4WzhjxvLP95y7AMDy0Atwb,Out Of Love,Alessia Cara,Def Jam Recordings,2016-08-05,206,132,173,19,66,2413997331
7Fg342AJtNsIDdwCfX0paC,Let Me,ZAYN,RCA Records Label,2018-04-06,215,2,91,51,67,2391561916
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,Top Dawg Entertainment/RCA Records,2022-12-08,154,5,189,671,68,2388030795
3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),Lil Nas X,Columbia,2021-05-21,178,60,61,5,69,2369042221
3cbLHmmEPvTgHKvl53WYiy,ON,BTS,BIGHIT MUSIC,2021-05-14,178,1,20,435,70,2369042221
4gJAWJnE5cvAAWyTMTxgdY,You Are The Reason - Duet Version,"Calum Scott, Leona Lewis",Capitol Records,2015-11-13,201,126,-1,15,71,2349291763
3DPkMPJ1rUrMgXGUwtpMuV,Vũ Điệu Cồng Chiêng,Tóc Tiên,Tóc Tiên,2018-03-16,167,81,125,11,72,2346986265
2LEDtBvipXO7mxlNqJJPkm,Con Đường Mưa,Cao Thái Sơn,Cao Thái Sơn,2018-03-02,167,114,-1,13,73,2346986265
4eVkn18rN4GguUWOsR6Use,Answer : Love Myself,BTS,BIGHIT MUSIC,2018-08-17,214,7,-1,34,74,2345674899
3Yw09dj3cTXsAzlLjgBfIP,Talk Up (feat. Jay-Z),"Drake, JAY-Z",Cash Money/Drake LP6,2017-08-25,119,73,-1,1,75,2333638678
5HiSc2ZCGn8L3cH3qSwzBT,러시안 룰렛 Russian Roulette,Red Velvet,SM Entertainment,2017-04-20,199,183,183,2,76,2328258305
698ItKASDavgwZ3WjaWjtz,Faded,Alan Walker,Kreatell Music,2017-04-20,199,73,-1,208,77,2326130780
01AKUA3Pgpqm68mhNsC03t,Đẹp Nhất Là Em(Between us),"Ji Yeon, SOOBIN","V LIVE, MUDIO inc.",2018-08-03,313,41,-1,96,78,2310976379
7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",EMI,2021-10-22,203,96,170,182,79,2294918031
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",EMI,2021-08-13,203,193,199,4,80,2294918031
70cMlm2Ib00pnJHtjMem9b,Những Con Đường Song Song,Chillies,WM Vietnam,2020-03-20,216,139,169,19,81,2273914270
5roIqBOfs7unk4KsPEEbar,Fall In Love,Hoàng Thùy Linh,POPS WORLDWIDE,2015-01-01,209,61,-1,8,82,2266005348
5Hba2FufYnxr2mGjeyFv72,Biết Khi Nào Gặp Lại,Mỹ Tâm,MT Entertainment,2017-06-02,209,11,184,354,83,2266005348
32DGGj6KlNuBr6WaqRxpxi,How Long,Charlie Puth,Artist Partner,2017-11-03,201,35,60,49,84,2256141597
3kcad6l0zJdzGZEvxXzNKP,Hay Yeu Nhau Di,Thiên Phượng,Lang Van,2014-05-26,173,156,-1,1,85,2248040405
4oqm7XzkfEJI7vlhaBE7UK,Lạc Giữa Nhân Gian,Ngô Kiến Huy,Viettel,2014-01-01,173,98,-1,8,86,2246738587
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",BIGHIT MUSIC,2023-11-03,184,1,1,568,87,2234241328
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),"Jung Kook, Latto",BIGHIT MUSIC,2023-07-14,184,1,2,111,88,2234241328
76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,Warner Records,2018-01-12,217,8,180,382,89,2231899050
1qAPA8TooLVEqAZ58fhcrt,BOOMBAYAH,BLACKPINK,YG Entertainment,2002-08-27,310,52,121,148,90,2220321746
2BNkTvg1kHAAfGvqh56x5a,Getting Over You,Lauv,Lauv,2011-01-19,285,74,115,19,91,2213596599
6rVNnvyNeibts1uOqdSNIw,Mother,Charlie Puth,Artist Partner,2019-09-20,189,147,-1,2,92,2208160183
2WOpp4vm16unl0N3i3BNNv,Tình Đắng Như Ly Cà Phê,"Ngơ, NÂN",12 trái lê,2021-06-11,189,14,197,1735,93,2208160183
2FWBdovgRvBSzA1JESUe0D,Làm Gì Phải Hốt,"Hoàng Thùy Linh, JustaTee, Đen",NGUYEN THANH TUAN,2020-01-17,202,14,161,755,94,2202235591
74iZuPGwyL33VlTr6jTnab,Always Remember Us This Way,Lady Gaga,A Star is Born OST,2018-10-04,202,2,2,11,95,2201480995
3DH7Ogn4I781cKCxpEcRbd,Hongkong1 - Official Version - Original,Nguyễn Trọng Tài,COMEMUSIC,1994-10-28,241,44,77,20,96,2168890740
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,Darkroom/Interscope Records,2024-05-17,210,57,164,260,97,2138708451
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,Columbia,2019-11-22,215,58,87,14,98,2132618360
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",Columbia,2021-09-17,212,12,173,358,99,2132467087
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",Columbia,2021-07-23,212,13,24,55,100,2132467087
54PbBpquVfhfrwRwvjSXbI,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Artist Partner,2015-11-05,218,54,135,1354,101,2125041454
2DGa7iaidT5s0qnINlwMjJ,The Spectre,Alan Walker,Kreatell Music,2015-11-05,218,82,120,19,102,2122766611
2BkyYZmU4JuWW2sYi9EzpC,7 Minutes,Dean Lewis,Universal Music Australia Pty. Ltd.,2018-12-14,212,141,150,4,103,2122196711
4e3wYOolOau2A9D7GYqtSG,Where's My Love - Piano Solo,SYML,Nettwerk Music Group,2015-12-04,213,98,116,2,104,2122196711
1XGmzt0PVuFgQYYnV2It7A,Payphone,"Maroon 5, Wiz Khalifa",Interscope Records*,2012-01-01,231,178,183,8,105,2121347216
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,"DJ Snake, Justin Bieber",DJ Snake Def Jam,2015-04-14,207,154,-1,45,106,2119927340
3ksHvU75aLBENx2ZmO49Jx,Anh Thanh Niên,HuyR,Yin Yang Media,2019-12-06,197,51,186,99,107,2113058118
083Qf6hn6sFL6xiOHlZUyn,I'll Be There,Jess Glynne,Atlantic Records UK,2014-01-01,239,107,-1,1,108,2113047007
