id,track_name,artist_names,source,release_date,duration,days_on_chart,rank,streams,genre
3Z0oQ8r78OUaHvGPiDBR3W,Into the Unknown,"Idina Menzel, AURORA",Walt Disney Records,2019-11-29,202,23,1,4727746591,Nhạc nước ngoài
3AzjcOeAmA57TIOr9zF1ZW,Physical,Dua Lipa,Warner Records,2020-03-20,200,105,2,4726263786,Nhạc nước ngoài
5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen",Atlantic Records UK,2017-03-03,234,86,3,4238338469,Khác
42zePe03Iq8tvFcJAIKkp8,D.R.E.A.M. (feat. Ghostface Killah),"Miley Cyrus, Ghostface Killah",RCA/Legacy,2019-05-17,182,2,4,3812743107,Khác
34ODRRWSsRbiB6sGI9R9Te,Badadu,MONSTAR,ST.319 Entertainment,2018-11-08,182,40,5,3811491910,Nhạc nước ngoài
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,Columbia,2022-03-31,167,45,6,3774211059,Nhạc nước ngoài
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,Columbia,2022-05-20,167,366,7,3774211059,Nhạc nước ngoài
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",Universal Republic Records,2016-11-25,230,103,8,3764936894,Nhạc nước ngoài
2FAy5wKks2GltTlYwiCfWh,Hết Thương Cạn Nhớ,Đức Phúc,Đức Phúc Official,2019-09-06,158,2,9,3721945430,Nhạc Việt
7LzouaWGFCy4tkXDOOnEyM,Liar,Camila Cabello,Syco Music/Epic,2019-09-06,158,87,10,3721945430,Nhạc nước ngoài
7laWkT6uyoMDUXBqhcAN4V,"Ngày Chưa Giông Bão (Theme Song From ""Người Bất Tử"")",Bùi Lan Hương,Yin Yang Media,2018-10-18,158,625,11,3720760877,Nhạc Việt
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),"Meek Mill, Drake",MMG/Atlantic,2018-12-14,158,47,12,3720760877,Khác
0GU5GuJQQEnnREO2FxnVPT,DALLA DALLA,ITZY,Republic Records - ITZY,2019-02-22,158,226,13,3720760877,Nhạc Hàn
1MiJk3dXC5jzhvLFP0dUM7,Thức Giấc,Da LAB,Yin Yang Media,2021-07-09,142,1298,14,3476727992,Nhạc Việt
5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",Columbia,2021-07-23,142,542,15,3476727992,Nhạc nước ngoài
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",Columbia,2021-07-27,142,744,16,3476727992,Nhạc nước ngoài
6uHoPVdPEqXlH1Kd3KqTIJ,I'M OK,iKON,YG Entertainment,2017-06-23,204,9,17,3338856236,Nhạc Hàn
2yoQ8FCHSuduzMtreflB71,Say You Do - 2nd Single 2015,Tiên Tiên,TienTienMusic,2017-03-03,263,2,18,3312142392,Nhạc Việt
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,Polydor Records,2020-08-06,239,408,19,3301944296,Nhạc nước ngoài
3WkvZbY9jVVIfBGhrcnVAL,Phố Không Em,Thái Đinh,Yin Yang Media,2019-05-10,210,870,20,3220250553,Nhạc Việt
7FihoA0WgTT21DkWR7wbYR,"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",Céline Dion,Columbia,2018-04-19,200,54,21,3209562664,Nhạc nước ngoài
6SRWhUJcD2YKahCwHavz3X,Darkside,"Alan Walker, Au/Ra, Tomine Harket",Kreatell Music,2017-08-11,200,458,22,3209562664,Khác
4ofvoCdXq99vpMZO4Cfp8x,Pray For Me,"The Weeknd, Kendrick Lamar",Universal Republic Records,2016-10-28,211,19,23,3176204565,Nhạc nước ngoài
7krbSH3rd8lhIZvuzTV3Bl,Naked,James Arthur,Columbia Local,2016-07-29,245,32,24,3162101862,Nhạc nước ngoài
7ej7R4LjMWP6sdCtoayJSN,The River,Axel Johansson,disco:wax,2018-02-02,218,91,25,3126614456,Nhạc nước ngoài
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,"Right Hand Music Group, LLC/RCA Records",2018-04-27,218,107,26,3126614456,Nhạc nước ngoài
0WNGsQ1oAuHzNTk8jivBKW,Spring Day,BTS,BIGHIT MUSIC,2017-04-07,247,168,27,3030510971,Nhạc Hàn
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,Republic Records,2019-11-17,174,108,28,2945482048,Nhạc nước ngoài
3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,Columbia,2019-12-13,174,122,29,2944832336,Nhạc nước ngoài
6MVkOZHOUDcuGd8fAnbU7f,Nơi Mình Dừng Chân (Remix),Mỹ Tâm,MT Entertainment,2019-06-21,191,6,30,2943698630,Nhạc Việt
6moU77g9RQyMzHNuKEaQKq,It's You,Ali Gatie,Warner Records,2019-06-19,191,120,31,2943698630,Nhạc nước ngoài
733yOf6BYdGuFOgaedo9BK,Make It Right (feat. Lauv) (EDM Remix),"BTS, Lauv, Frants",BIGHIT MUSIC,2019-10-31,183,1,32,2858350923,Khác
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,Warner Records,2020-03-27,183,174,33,2858350923,Nhạc nước ngoài
62yjCIcPBDX9v2XubelRxt,Bet On Me,Suboi,Suboi Entertainment,2018-12-10,240,10,34,2812345674,Nhạc Việt
2IKZkwHI5zsZf70STuhvOX,Sick Boy,The Chainsmokers,Disruptor Records/Columbia,2013-01-01,259,2,35,2811550531,Nhạc nước ngoài
19L8E51SOAjb0DdA349YuW,Three Little Birds,Maroon 5,Interscope Records*,2018-05-23,240,1,36,2811353130,Nhạc nước ngoài
0tBbt8CrmxbjRP0pueQkyU,Wolves,"Selena Gomez, Marshmello",Selena Gomez PS,2018-05-23,240,654,37,2811353130,Khác
2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",Taylor Swift,2019-08-23,178,433,38,2781564136,Nhạc nước ngoài
5UZFK9JGgU2BoDAWwhH9rC,Đi Đu Đưa Đi,Bích Phương,MUNIZ MUSIC COMPANY LIMITED,2019-09-06,215,30,39,2747205981,Nhạc Việt
